time,slave_id,packet_loss_probability,actual_loss_rate,information_age,predecessor_state_time,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration,total_packets,received_packets,lost_packets
0.2,3,0.2,0.0,0.0,0.2,-57.979225375,-87.988234156875,20.20774625,20.11765843125,32.020774625,30.0,2.0207746250000014,0.20774624999999958,1.1765843125000004,1,1,0
0.30000000000000004,3,0.2,0.0,0.0,0.30000000000000004,-55.9507403821875,-85.96567867809686,20.284849928125,20.22555478778125,32.0374937746875,30.147073039062498,1.8904207356249998,0.1671914968749988,1.078963565312499,2,2,0
0.4,3,0.2,0.0,0.0,0.4,-53.904292331629684,-83.93231457926767,20.464480505578123,20.33364098829203,32.06138634646718,30.28194348472656,1.7794428617406197,0.23892571779687444,1.0808620051078095,3,3,0
0.5,3,0.2,0.0,0.0,0.5,-51.84202370195037,-81.8882719197607,20.622686296793184,20.440426595069734,32.0902908773173,30.417051235365037,1.6732396419522644,0.28904530850115506,1.0678560677770563,4,4,0
0.6,3,0.2,0.0,0.0,0.6,-49.765907914661874,-79.8338042562249,20.761157872884926,20.544676635358034,32.122364005098824,30.55053324383717,1.5718307612616549,0.3207312778151916,1.0425004028829807,5,5,0
0.7,3,0.2,0.0,0.0,0.7,-47.677758376561144,-77.76926604229656,20.881495381007277,20.645382139283285,32.15604587966375,30.68084579419754,1.4752000854662093,0.33681874564924286,1.0070550392524988,6,6,0
0.7999999999999999,3,0.2,0.0,0.0,0.7999999999999999,-45.57923751215934,-75.6950927120502,20.985208644018076,20.741733302463725,32.190028530137226,30.806727674104106,1.3833008560331201,0.33982650473479126,0.963511631804393,7,7,0
0.8999999999999999,3,0.2,0.0,0.0,0.8999999999999999,-43.47186569772975,-73.61178320113797,21.07371814429591,20.83309510912234,32.22322701432045,30.927166628079657,1.296060386240793,0.3319848418321847,0.9136180665861442,8,8,0
0.9999999999999999,3,0.2,0.0,0.0,0.9999999999999999,-41.357030025846726,-71.51988467590363,21.148356718830193,20.918985252343383,32.25475317529124,31.041368886402925,1.2133842888883173,0.31526160970785355,0.8589014322104416,9,9,0
1.0999999999999999,3,0.2,0.0,0.0,1.0999999999999999,-39.2359928440726,-69.4199792568141,21.210371817741287,20.999054190895304,32.28389183183103,31.14873156542923,1.1351602664017975,0.29138656539790375,0.8006893855192218,10,10,0
1.2,3,0.2,0.09090909090909091,0.10000000000000009,1.0999999999999999,-39.2359928440726,-67.3237074533392,21.210371817741287,20.962718034749102,30.183986412741504,31.24881773861913,-1.064831325877627,0.21131762684598243,-0.3633615614620275,11,10,1
1.3,3,0.2,0.08333333333333333,0.0,1.3,-34.99979938997117,-65.21989934846226,21.2044366350454,21.03808104876939,32.32390806336802,31.203397543436378,1.1205105199316456,0.24171860029629855,0.7536301402028617,12,11,1
1.4000000000000001,3,0.2,0.07692307692307693,0.0,1.4000000000000001,-32.87727090648762,-63.10936847764173,21.22528483483557,21.105308708205328,32.34262844197465,31.297601310961735,1.0450271310129118,0.18720378606618127,0.6722765943594009,13,12,1
1.5000000000000002,3,0.2,0.07142857142857142,0.0,1.5000000000000002,-30.755635876261287,-60.993088790488116,21.21635030226331,21.162796871536155,32.35373260138044,31.38163588525666,0.972096716123783,0.11104159405798342,0.5748816333082782,14,13,1
1.6000000000000003,3,0.2,0.06666666666666667,0.0,1.6000000000000003,-28.634709836315523,-58.871912980787364,21.20926039945763,21.211758097007493,32.35837895417259,31.453496089420195,0.9048828647523983,0.04646352792147468,0.4896122547133789,15,14,1
1.7000000000000004,3,0.2,0.0625,0.0,1.7000000000000004,-26.514390102055174,-56.74659153083448,21.203197342603495,21.253214499528816,32.35752287873219,31.514697621259366,0.8428252574728248,-0.008560754403998061,0.41456402521321395,16,15,1
1.8000000000000005,3,0.2,0.058823529411764705,0.0,1.8000000000000005,-24.405191873591367,-54.61868553093656,21.091982284638057,21.27905999897916,32.341399657243116,31.56651812441102,0.7748815328320973,-0.16123221489075945,0.25845499450344106,17,16,1
1.9000000000000006,3,0.2,0.05555555555555555,0.0,1.9000000000000006,-22.295019845156403,-52.4885740453204,21.101720284349614,21.301114856161607,32.323665685780156,31.598824998723952,0.7248406870562043,-0.17733971462954656,0.22054857182446488,18,17,1
2.0000000000000004,3,0.2,0.10526315789473684,0.09999999999999987,1.9000000000000006,-22.295019845156403,-50.36722191312892,21.101720284349614,21.213521321914747,30.193554200163994,31.62639357020201,-1.432839370038014,-0.19939457181199316,-0.8759353424686015,19,17,2
2.1000000000000005,3,0.2,0.1,0.0,2.1000000000000005,-18.072686093549503,-48.242776337680546,21.11418037453612,21.244455754483756,32.29453581957942,31.516901652393436,0.7776341671859868,-0.09934094737862864,0.30934432569009046,20,18,2
