control_time,predecessor_state_time,information_age,slave_id,communication_delay,effective_headway,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration
2.1000000000000005,1.0999999999999999,1.0000000000000007,2,1.0,1.0,-22.99,-47.98915,20.1,20.1085,27.01,25.0,2.0100000000000016,0.10000000000000142,1.085000000000002
2.2000000000000006,1.2,1.0000000000000007,2,1.0,1.0,-20.971349999999997,-45.9681295,20.186500000000002,20.210205,27.017800000000005,25.1085,1.9093000000000053,0.07800000000000296,1.0170500000000051
2.3000000000000007,1.3,1.0000000000000007,2,1.0,1.0,-18.945267749999996,-43.93764077625001,20.260822500000003,20.3048872375,27.022861750000008,25.210205,1.8126567500000093,0.05061750000000487,0.9468223750000085
2.400000000000001,1.4000000000000001,1.0000000000000007,2,1.0,1.0,-16.912849853749996,-41.898398200275004,20.324178962500003,20.39242575975,27.02479092250001,25.3048872375,1.7199036850000091,0.019291725000002202,0.8753852225000063
2.500000000000001,1.5000000000000002,1.0000000000000007,2,1.0,1.0,-14.875082034743746,-39.851119152828595,20.377678190062504,20.472790474464063,27.023316165531256,25.39242575975,1.6308904057812548,-0.01474756968749702,0.8036471471406298
2.600000000000001,1.6000000000000003,1.0000000000000007,2,1.0,1.0,-12.83284862203459,-37.79651635587952,20.422334127091567,20.54602796949076,27.018270530794005,25.472790474464063,1.545480056329943,-0.05045634737249571,0.7323749502669749
2.700000000000001,1.7000000000000004,1.0000000000000007,2,1.0,1.0,-10.78694130986745,-35.735291462330395,20.45907312167139,20.612248935491273,27.009575046012067,25.54602796949076,1.4635470765213086,-0.08695484781936713,0.6622096600051606
2.800000000000001,1.8000000000000005,1.0000000000000007,2,1.0,1.0,-8.7380672417327,-33.668129758388886,20.488740681347483,20.67161703941509,26.997224220597694,25.612248935491273,1.384975285106421,-0.12350825414378974,0.5936810392381787
2.9000000000000012,1.9000000000000006,1.0000000000000007,2,1.0,1.0,-6.686856466246805,-31.595695847460192,20.512107754858945,20.724339109286948,26.98127329214208,25.67161703941509,1.3096562527269917,-0.15950928455614388,0.5272206987185808
3.0000000000000013,2.0000000000000004,1.0000000000000009,2,1.0,1.0,-4.633868809242843,-29.518630197200824,20.529876570039622,20.77065650259368,26.96182703821735,25.724339109286948,1.2374879289304026,-0.1944625392473256,0.4631739330673408
3.1000000000000014,2.1000000000000005,1.0000000000000009,2,1.0,1.0,-2.5796002036031815,-27.437546443056014,20.542686056396615,20.810837541448112,26.939029993597643,25.77065650259368,1.1683734910039618,-0.22797044619706597,0.40181038854432816
3.2000000000000015,2.2000000000000006,1.0000000000000009,2,1.0,1.0,-0.5244885156786601,-25.35302935227918,20.551116879245214,20.845170907768342,26.913057927377356,25.810837541448112,1.1022203859292432,-0.25972066220289847,0.34333366320230285
3.3000000000000016,2.3000000000000007,1.0000000000000009,2,1.0,1.0,1.5310810953940668,-23.26563336217915,20.55569611072727,20.8739599010003,26.884110447673248,25.845170907768342,1.0389395399049057,-0.2894747970410734,0.28788993231959414
3.4000000000000017,2.400000000000001,1.0000000000000009,2,1.0,1.0,3.5867712515503687,-21.17588161523097,20.55690156156302,20.89751746948178,26.85240461372952,25.8739599010003,0.9784447127292175,-0.31705833943728123,0.23557568481478375
3.5000000000000018,2.500000000000001,1.0000000000000009,2,1.0,1.0,5.6422878311486,-19.0842654217863,20.555165795982308,20.916161934446713,26.81816944637957,25.89751746948178,0.9206519768977905,-0.34235167349947204,0.18644464964931762
3.600000000000002,2.600000000000001,1.0000000000000009,2,1.0,1.0,7.697375816243318,-16.991244088491708,20.55087985094718,20.930213332945897,26.781641238029618,25.916161934446713,0.8654793035829051,-0.36528208349953317,0.14051398499182605
3.700000000000002,2.700000000000001,1.0000000000000009,2,1.0,1.0,9.751815484194506,-14.897245057225888,20.54439667951188,20.939990312658193,26.743059572686214,25.930213332945897,0.8128462397403169,-0.3858166534340164,0.09776979712294531
3.800000000000002,2.800000000000001,1.0000000000000009,2,1.0,1.0,11.805418917891068,-12.802664305453316,20.53603433696561,20.945807517725726,26.702663975116955,25.939990312658193,0.7626736624587629,-0.40395597569258257,0.05817205067531539
3.900000000000002,2.9000000000000012,1.0000000000000009,2,1.0,1.0,13.85802681061762,-10.707866964412698,20.526078927265527,20.94797341040617,26.660691116070936,25.945807517725726,0.7148835983452102,-0.41972859046019906,0.02165892680444581
