time,leader_position,follower_position,distance_error
0.1103665828704834,0.0,0.0,-5.0
0.21052932739257812,0.0,0.0,-5.0
0.31032633781433105,0.0,0.0,-5.0
0.410311222076416,0.0,0.0,-5.0
0.5105245113372803,0.0,-7.7075,2.7074999999999996
0.6103334426879883,0.04000000000000001,-7.7075,2.7474999999999996
0.7104513645172119,0.04000000000000001,-7.7075,2.7474999999999996
0.8104040622711182,0.04000000000000001,-7.572125,2.612125
0.9103941917419434,0.06000000000000001,-7.572125,2.6321249999999994
1.011451244354248,0.06000000000000001,-7.572125,2.6321249999999994
1.1110889911651611,0.06000000000000001,-7.44151875,2.50151875
1.2111444473266602,0.06000000000000001,-7.44151875,2.50151875
1.3103909492492676,0.08000000000000002,-7.44151875,2.5215187500000003
1.410376787185669,0.08000000000000002,-7.3164428125,2.3964428125
1.5105228424072266,0.08000000000000002,-7.3164428125,2.3964428125
1.6103956699371338,0.10000000000000002,-7.3164428125,2.4164428124999997
1.7103767395019531,0.10000000000000002,-7.197620671875,2.2976206718749994
1.810500144958496,0.10000000000000002,-7.197620671875,2.2976206718749994
1.910433292388916,0.12000000000000002,-7.197620671875,2.317620671875
2.010366678237915,0.12000000000000002,-7.08273963828125,2.2027396382812503
2.1103570461273193,0.12000000000000002,-7.08273963828125,2.2027396382812503
2.210442304611206,0.12000000000000002,-7.08273963828125,2.2027396382812503
2.3103671073913574,0.14,-7.08273963828125,2.22273963828125
2.410905122756958,0.14,-6.973602656367188,2.1136026563671875
2.510497808456421,0.14,-6.973602656367188,2.1136026563671875
2.610384464263916,0.16000000000000003,-6.973602656367188,2.133602656367188
2.7106637954711914,0.16000000000000003,-6.867922523548828,2.0279225235488285
2.810330867767334,0.16000000000000003,-6.867922523548828,2.0279225235488285
2.9103870391845703,0.18000000000000005,-6.867922523548828,2.047922523548828
3.010442018508911,0.18000000000000005,-6.767526397371387,1.9475263973713863
3.1103756427764893,0.18000000000000005,-6.767526397371387,1.9475263973713863
3.210358142852783,0.18000000000000005,-6.767526397371387,1.9475263973713863
3.3106043338775635,0.20000000000000007,-6.767526397371387,1.9675263973713868
3.4108753204345703,0.20000000000000007,-6.670150077502817,1.8701500775028173
3.5103845596313477,0.20000000000000007,-6.670150077502817,1.8701500775028173
3.6117477416992188,0.22000000000000008,-6.670150077502817,1.8901500775028168
3.7107198238372803,0.22000000000000008,-6.576642573627677,1.7966425736276763
3.8103742599487305,0.22000000000000008,-6.576642573627677,1.7966425736276763
3.9103403091430664,0.2400000000000001,-6.576642573627677,1.8166425736276768
4.010344505310059,0.2400000000000001,-6.576642573627677,1.8166425736276768
4.110367059707642,0.2400000000000001,-6.576642573627677,1.8166425736276768
4.210469961166382,0.2400000000000001,-6.487810444946293,1.727810444946293
4.310369253158569,0.2600000000000001,-6.487810444946293,1.7478104449462926
4.410430908203125,0.2600000000000001,-6.487810444946293,1.7478104449462926
4.5104758739471436,0.2600000000000001,-6.401419922698978,1.661419922698978
4.610424757003784,0.28000000000000014,-6.401419922698978,1.6814199226989786
4.710333824157715,0.28000000000000014,-6.401419922698978,1.6814199226989786
4.810443162918091,0.28000000000000014,-6.318348926564029,1.5983489265640296
4.910397529602051,0.28000000000000014,-6.318348926564029,1.5983489265640296
5.010532379150391,0.30000000000000016,-6.318348926564029,1.6183489265640292
5.111068487167358,0.30000000000000016,-6.239431480235828,1.5394314802358275
5.211088418960571,0.30000000000000016,-6.239431480235828,1.5394314802358275
5.31041145324707,0.3200000000000002,-6.239431480235828,1.559431480235828
5.410411357879639,0.3200000000000002,-6.162459906224036,1.4824599062240367
5.510483980178833,0.3200000000000002,-6.162459906224036,1.4824599062240367
5.610363721847534,0.3400000000000002,-6.162459906224036,1.5024599062240362
5.710407018661499,0.3400000000000002,-6.089336910912834,1.4293369109128342
5.810417413711548,0.3400000000000002,-6.089336910912834,1.4293369109128342
5.910210609436035,0.3600000000000002,-6.089336910912834,1.4493369109128347
6.010457277297974,0.3600000000000002,-6.017870065367193,1.3778700653671931
6.110343933105469,0.3600000000000002,-6.017870065367193,1.3778700653671931
6.210365533828735,0.3600000000000002,-6.017870065367193,1.3778700653671931
6.310353755950928,0.3800000000000002,-6.017870065367193,1.3978700653671927
6.410510778427124,0.3800000000000002,-5.948976562098833,1.3289765620988332
6.510349273681641,0.3800000000000002,-5.948976562098833,1.3289765620988332
6.610368967056274,0.40000000000000024,-5.948976562098833,1.3489765620988337
6.7103705406188965,0.40000000000000024,-5.882527733993892,1.2825277339938923
