time,leader_position,follower_position,leader_velocity,follower_velocity,distance_error
0.1,0.0,-13.384,0.0,16.16,-8.0
0.2,0.0,-11.77616,20.0,16.0784,-7.776
0.30000000000000004,20.0,-10.083458400000001,20.0,16.927016,10.697760000000002
0.4,22.0,-8.315390716000001,20.0,17.680676839999997,10.1564424
0.5,22.0,-6.490594877340001,20.0,18.247958386599997,7.634713876000006
0.6,26.0,-4.605569523319102,20.0,18.850253540208996,9.242636490740004
0.7,28.0,-2.6675696177043235,20.0,19.37999905614778,8.755315983110108
0.7999999999999999,30.0,-0.6831718517309451,20.0,19.843977659733785,8.287570561556542
0.8999999999999999,32.0,1.3416700639245493,20.0,20.24841915655494,7.839194191997162
0.9999999999999999,32.0,3.3915741802252066,20.0,20.49904116300657,5.409910779520509
1.0999999999999999,36.0,5.473032890505652,20.0,20.814587102804456,7.109384656768224
1.2,38.0,7.581536803997112,20.0,21.085039134914595,6.712380006689894
1.3,40.0,9.713027524714697,20.0,21.314907207175843,6.333424061088294
1.4000000000000001,42.0,11.863859314115421,20.0,21.50831789400725,5.972065268109461
1.5000000000000002,44.0,14.030763674323476,20.0,21.669043602080535,5.627822791877328
1.6000000000000003,46.0,16.210816649332866,20.0,21.80052975009389,5.300192723595991
1.7000000000000004,48.0,18.40140865434437,20.0,21.905920050115043,4.988653600573244
1.8000000000000005,50.0,20.600216655432657,20.0,21.988080010882868,4.692671295540588
1.9000000000000006,50.0,22.795178533102302,20.0,21.94961877669646,2.411703333684475
2.0000000000000004,54.0,24.995819474009384,20.0,22.006409409070805,4.255202690201237
2.1000000000000005,56.0,27.200397995228496,20.0,22.04578521219113,3.997771116919811
2.2000000000000006,58.0,29.40737931871298,20.0,22.069813234844858,3.7538167925803734
2.3000000000000007,60.0,31.61541617355092,20.0,22.08036854837938,3.5228074464421617
2.400000000000001,62.0,33.82333115639217,20.0,22.079149828412515,3.3042152780697016
2.500000000000001,64.0,36.0301005356821,20.0,22.06769379289928,3.0975190151953136
2.600000000000001,66.0,38.23483939298593,20.0,22.04738857303827,2.902205671418617
2.700000000000001,66.0,40.42678800187533,20.0,21.919486088893997,0.7177720339757983
2.800000000000001,70.0,42.61664935159973,20.0,21.89861349724401,2.6537259092306726
2.9000000000000012,72.0,44.80374547910196,20.0,21.870961275022303,2.4847371511562564
3.0000000000000013,74.0,46.98750038263339,20.0,21.837549035314307,2.3252932458757343
3.1000000000000014,76.0,49.16742964679257,20.0,21.799292641591776,2.1749505820523005
3.2000000000000015,78.0,51.34313095837709,20.0,21.75701311584522,2.0332777116156535
3.3000000000000016,78.0,53.50427544466373,20.0,21.611444862866485,-0.10014407422230676
3.4000000000000017,82.0,55.6619497705098,20.0,21.576743258460656,1.8842796924697822
3.5000000000000018,84.0,57.815816685143325,20.0,21.53866914633528,1.7613069710295441
3.600000000000002,86.0,59.96560181744878,20.0,21.497851323054526,1.6455141685213945
3.700000000000002,88.0,62.11108687346728,20.0,21.454850560184997,1.5365468594966956
3.800000000000002,88.0,64.24210343783604,20.0,21.310165643687583,-0.5659374336522767
3.900000000000002,92.0,66.36987733164767,20.0,21.277738938116396,1.4477309184763811
4.000000000000002,94.0,68.49419123260556,20.0,21.243139009578883,1.3523837302359318
4.100000000000001,94.0,70.6048733702759,20.0,21.10682137670335,-0.7373302421844414
4.200000000000001,98.0,72.71314246319771,20.0,21.08269092921812,1.2883052530207522
4.300000000000001,98.0,74.8087708617237,20.0,20.95628398525988,-0.7958333924158332
4.4,102.0,76.9029237141327,20.0,20.94152852408991,1.2349451530164188
4.5,102.0,78.98532207715786,20.0,20.823983630251586,-0.8444522382226083
4.6,106.0,81.06708204260396,20.0,20.817599654460988,1.1906942925905533
4.699999999999999,108.0,83.14787780232905,20.0,20.807957597250862,1.115318302935055
4.799999999999999,110.0,85.22743072427824,20.0,20.795529219491797,1.044164600420089
4.899999999999999,110.0,87.29550461275264,20.0,20.680738884743953,-1.022959943770033
4.999999999999998,114.0,89.3632513726616,20.0,20.677467599089606,1.02375650250341
