time,leader_position,follower_position,leader_velocity,follower_velocity,distance_error
0.1,28.0,-13.084,20.0,19.16,20.0
0.2,30.0,-11.066659999999999,20.0,20.1734,18.924000000000003
0.30000000000000004,32.0,-8.961240899999998,20.0,21.054191,17.893259999999998
0.4,34.0,-6.779720078499999,20.0,21.815208215,16.9070499
0.5,36.0,-4.532898363402499,20.0,22.468217150974997,15.9645118635
0.6,38.0,-2.2304989794506613,20.0,23.023993839518372,15.064681212427498
0.7,40.0,0.11874097948469053,20.0,23.492399589353518,14.206505139932286
0.7999999999999999,42.0,2.5069860388610232,20.0,23.882450593763327,13.38885943116179
0.8999999999999999,44.0,4.927224310324128,20.0,24.202382714631042,12.61056336737565
0.9999999999999999,46.0,7.373195484945408,20.0,24.4597117462128,11.87039297504483
1.0999999999999999,48.0,9.839324429441195,20.0,24.661289444957866,11.167092768841794
1.2,50.0,12.320659989005323,20.0,24.813355595641283,10.499386125600942
1.3,52.0,14.81281862588109,20.0,24.92158636875765,9.865984415353395
1.4000000000000001,54.0,17.3119325468336,20.0,24.9911392095251,9.265595005361256
1.5000000000000002,56.0,19.814601995328115,20.0,25.026694484945157,8.696928243641295
1.6000000000000003,58.0,22.317851405541703,20.0,25.03249410213588,8.158703519726725
1.7000000000000004,60.0,24.819089135399814,20.0,25.012377298581132,7.649654492322416
1.8000000000000005,62.0,27.316070514699373,20.0,24.969813792995595,7.168533566019054
1.9000000000000006,64.0,29.806863962116495,20.0,24.9079344741712,6.714115692305029
2.0000000000000004,66.0,32.289819941558804,20.0,24.82955979442312,6.285201563712306
2.1000000000000005,68.0,34.76354254396582,20.0,24.737226024070175,5.880620264018077
2.2000000000000006,70.0,37.2268634953401,20.0,24.633209513742763,5.499231431964006
2.3000000000000007,72.0,39.67881840555902,20.0,24.5195491021892,5.1399269909171394
2.400000000000001,74.0,42.118625085421684,20.0,24.39806679862665,4.80163249225178
2.500000000000001,76.0,44.54566377147509,20.0,24.270386860534103,4.483308115951665
2.600000000000001,78.0,46.959459109484186,20.0,24.137953380090917,4.183949367990806
2.700000000000001,80.0,49.35966375800467,20.0,24.00204648520489,3.9025875104248975
2.800000000000001,82.0,51.74604348342747,20.0,23.86379725422802,3.6382897567904386
2.9000000000000012,84.0,54.11846362712817,20.0,23.724201437007004,3.3901592623445076
3.0000000000000013,86.0,56.47687683401214,20.0,23.584132068839686,3.1573349358648244
3.1000000000000014,88.0,58.82131193983113,20.0,23.44435105818992,2.9389910971481754
3.2000000000000015,90.0,61.1518639221945,20.0,23.305519823633674,2.734337001978947
3.3000000000000016,92.0,63.468684827239656,20.0,23.168209050451573,2.5426162541718256
3.4000000000000017,94.0,65.77197559049274,20.0,23.032907632530886,2.3631061223087713
3.5000000000000018,96.0,68.06197867657046,20.0,22.900030860777235,2.19511677697637
3.600000000000002,98.0,70.33897146807523,20.0,22.76992791504767,2.037990462652303
3.700000000000002,100.0,72.603260339344,20.0,22.64288871268771,1.8911006168771003
3.800000000000002,102.0,74.85517535565111,20.0,22.519150163071107,1.7538509479682851
3.900000000000002,104.0,77.09506554306004,20.0,22.398901874089308,1.6256744812777804
4.000000000000002,106.0,79.32329467839051,20.0,22.282291353304696,1.5060325828506471
4.100000000000001,108.0,81.54023755273607,20.0,22.169428743455562,1.394413968304793
