time,master_s,slave1_s,slave2_s,slave3_s,master_velocity,slave1_velocity,slave2_velocity,slave3_velocity,desired_distance_slave1,desired_distance_slave2,desired_distance_slave3,distance_master_slave1,distance_slave1_slave2,distance_slave2_slave3,error_slave1,error_slave2,error_slave3
0.0,0.2,-7.3,-14.8,-22.3,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.5,7.500000000000001,7.5,0.0,8.881784197001252e-16,0.0
0.1,0.4,-7.1,-14.600000000000001,-22.1,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.5,7.500000000000002,7.5,0.0,1.7763568394002505e-15,0.0
0.2,0.6000000000000001,-6.8999999999999995,-14.400000000000002,-21.900000000000002,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.5,7.500000000000003,7.5,0.0,2.6645352591003757e-15,0.0
0.30000000000000004,0.8,-6.699999999999999,-14.200000000000003,-21.700000000000003,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.499999999999999,7.5000000000000036,7.5,-8.881784197001252e-16,3.552713678800501e-15,0.0
0.4,1.0,-6.499999999999999,-14.000000000000004,-21.500000000000004,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.499999999999999,7.500000000000004,7.5,-8.881784197001252e-16,4.440892098500626e-15,0.0
0.5,1.2,-6.299999999999999,-13.800000000000004,-21.300000000000004,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.499999999999999,7.500000000000005,7.5,-8.881784197001252e-16,5.329070518200751e-15,0.0
0.6,1.4,-6.099999999999999,-13.600000000000005,-21.100000000000005,2.0,2.0,2.0000000000000004,2.0,7.5,7.5,7.5,7.499999999999998,7.500000000000006,7.5,-1.7763568394002505e-15,6.217248937900877e-15,0.0
0.7,1.5999999999999999,-5.899999999999999,-13.400000000000006,-20.900000000000006,2.0,2.0,2.000000000000001,2.0,7.5,7.500000000000001,7.5,7.499999999999998,7.500000000000007,7.5,-1.7763568394002505e-15,6.217248937900877e-15,0.0
0.7999999999999999,1.7999999999999998,-5.699999999999998,-13.200000000000006,-20.700000000000006,2.0,2.0,2.0000000000000013,2.0,7.5,7.500000000000002,7.5,7.499999999999998,7.500000000000008,7.5,-1.7763568394002505e-15,6.217248937900877e-15,0.0
0.8999999999999999,1.9999999999999998,-5.499999999999998,-13.000000000000007,-20.500000000000007,2.0,2.0,2.0000000000000013,2.0,7.5,7.500000000000002,7.5,7.499999999999998,7.500000000000009,7.5,-1.7763568394002505e-15,7.105427357601002e-15,0.0
0.9999999999999999,2.1999999999999997,-5.299999999999998,-12.800000000000008,-20.300000000000008,2.0,2.0,2.0000000000000018,2.0,7.5,7.500000000000002,7.5,7.499999999999998,7.50000000000001,7.5,-1.7763568394002505e-15,7.993605777301127e-15,0.0
1.0999999999999999,2.4,-5.099999999999998,-12.600000000000007,-20.10000000000001,2.0,2.0,2.000000000000002,2.0,7.5,7.500000000000003,7.5,7.499999999999998,7.500000000000009,7.500000000000002,-1.7763568394002505e-15,6.217248937900877e-15,1.7763568394002505e-15
1.2,2.6,-4.899999999999998,-12.400000000000006,-19.90000000000001,2.0,2.0,2.000000000000002,2.0000000000000004,7.5,7.500000000000003,7.5,7.499999999999998,7.500000000000008,7.5000000000000036,-1.7763568394002505e-15,5.329070518200751e-15,3.552713678800501e-15
