time,master_s,slave1_s,slave2_s,slave3_s,master_velocity,slave1_velocity,slave2_velocity,slave3_velocity,distance_master_slave1,distance_slave1_slave2,distance_slave2_slave3,error_slave1,error_slave2,error_slave3
0.20711922645568848,0.2,-4.799,-9.8,-14.8,2.0,2.01,2.0,2.0,4.9990000000000006,5.001,5.0,-0.0009999999999994458,0.001000000000000334,0.0
0.3070662021636963,0.2,-4.799,-9.8,-14.8,2.0,2.01,2.0,2.0,4.9990000000000006,5.001,5.0,-0.0009999999999994458,0.001000000000000334,0.0
0.40709376335144043,0.2,-4.799,-9.8,-14.8,2.0,2.01,2.0,2.0,4.9990000000000006,5.001,5.0,-0.0009999999999994458,0.001000000000000334,0.0
0.5076606273651123,0.2,-4.799,-9.8,-14.601,2.0,2.01,2.0,1.99,4.9990000000000006,5.001,4.801,-0.0009999999999994458,0.001000000000000334,-0.19899999999999984
0.6072008609771729,0.2,-4.799,-9.601,-14.601,2.0,2.01,1.99,1.99,4.9990000000000006,4.8020000000000005,5.0,-0.0009999999999994458,-0.1979999999999995,0.0
0.7071185111999512,0.4,-4.799,-9.601,-14.601,2.0,2.01,1.99,1.99,5.199000000000001,4.8020000000000005,5.0,0.19900000000000073,-0.1979999999999995,0.0
0.8070647716522217,0.4,-4.799,-9.601,-14.402915,2.0,2.01,1.99,1.98085,5.199000000000001,4.8020000000000005,4.801914999999999,0.19900000000000073,-0.1979999999999995,-0.19808500000000073
0.907146692276001,0.4,-4.799,-9.402830000000002,-14.402915,2.0,2.01,1.9817,1.98085,5.199000000000001,4.603830000000001,5.000084999999999,0.19900000000000073,-0.3961699999999988,8.499999999855845e-05
1.0070605278015137,0.6000000000000001,-4.799,-9.402830000000002,-14.402915,2.0,2.01,1.9817,1.98085,5.399000000000001,4.603830000000001,5.000084999999999,0.3990000000000009,-0.3961699999999988,8.499999999855845e-05
1.1072986125946045,0.6000000000000001,-4.799,-9.402830000000002,-14.205747225,2.0,2.01,1.9817,1.97167775,5.399000000000001,4.603830000000001,4.802917224999998,0.3990000000000009,-0.3961699999999988,-0.19708277500000193
1.2070858478546143,0.6000000000000001,-4.799,-9.402830000000002,-14.205747225,2.0,2.01,1.9817,1.97167775,5.399000000000001,4.603830000000001,4.802917224999998,0.3990000000000009,-0.3961699999999988,-0.19708277500000193
1.3079807758331299,0.8,-4.598085,-9.206414450000002,-14.205747225,2.0,2.00915,1.9641555000000002,1.97167775,5.398085,4.608329450000002,4.999332774999997,0.398085,-0.39167054999999795,-0.0006672250000026025
1.4072842597961426,0.8,-4.598085,-9.206414450000002,-14.205747225,2.0,2.00915,1.9641555000000002,1.97167775,5.398085,4.608329450000002,4.999332774999997,0.398085,-0.39167054999999795,-0.0006672250000026025
1.5070974826812744,0.8,-4.598085,-9.206414450000002,-14.205747225,2.0,2.00915,1.9641555000000002,1.97167775,5.398085,4.608329450000002,4.999332774999997,0.398085,-0.39167054999999795,-0.0006672250000026025
1.60711669921875,0.8,-4.598085,-9.012595071750003,-14.205747225,2.0,2.00915,1.9381937825000002,1.97167775,5.398085,4.414510071750002,5.193152153249997,0.398085,-0.5854899282499977,0.19315215324999713
1.7074415683746338,1.0,-4.598085,-9.012595071750003,-14.205747225,2.0,2.00915,1.9381937825000002,1.97167775,5.598085,4.414510071750002,5.193152153249997,0.5980850000000002,-0.5854899282499977,0.19315215324999713
1.8071303367614746,1.0,-4.397252775,-9.012595071750003,-14.205747225,2.0,2.00832225,1.9381937825000002,1.97167775,5.397252775,4.615342296750002,5.193152153249997,0.3972527750000001,-0.3846577032499976,0.19315215324999713
1.907066822052002,1.0,-4.397252775,-8.821135493401252,-14.205747225,2.0,2.00832225,1.9145957834875003,1.97167775,5.397252775,4.423882718401252,5.384611731598747,0.3972527750000001,-0.5761172815987479,0.3846117315987474
2.0072062015533447,1.2,-4.397252775,-8.821135493401252,-14.205747225,2.0,2.00832225,1.9145957834875003,1.97167775,5.597252775,4.423882718401252,5.384611731598747,0.5972527750000003,-0.5761172815987479,0.3846117315987474
2.1071343421936035,1.2,-4.196500864125,-8.821135493401252,-14.205747225,2.0,2.00751910875,1.9145957834875003,1.97167775,5.3965008641250005,4.624634629276252,5.384611731598747,0.3965008641250005,-0.3753653707237481,0.3846117315987474
2.207059860229492,1.2,-4.196500864125,-8.821135493401252,-14.205747225,2.0,2.00751910875,1.9145957834875003,1.97167775,5.3965008641250005,4.624634629276252,5.384611731598747,0.3965008641250005,-0.3753653707237481,0.3846117315987474
2.307793140411377,1.2,-4.196500864125,-8.631806689728396,-14.009484685875,2.0,2.00751910875,1.893288036728563,1.96262539125,5.3965008641250005,4.435305825603396,5.377677996146604,0.3965008641250005,-0.5646941743966041,0.3776779961466037
2.407092809677124,1.2,-4.196500864125,-8.631806689728396,-14.009484685875,2.0,2.00751910875,1.893288036728563,1.96262539125,5.3965008641250005,4.435305825603396,5.377677996146604,0.3965008641250005,-0.5646941743966041,0.3776779961466037
2.507549524307251,1.2,-3.9958266017993753,-8.631806689728396,-14.009484685875,2.0,2.0067426232562497,1.893288036728563,1.96262539125,5.195826601799375,4.6359800879290205,5.377677996146604,0.19582660179937506,-0.3640199120709795,0.3776779961466037
2.6072206497192383,1.2,-3.9958266017993753,-8.444387508351351,-14.009484685875,2.0,2.0067426232562497,1.8741918137704476,1.96262539125,5.195826601799375,4.448560906551975,5.565097177523649,0.19582660179937506,-0.5514390934480247,0.5650971775236489
