control_time,predecessor_state_time,information_age,slave_id,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration
0.7,0.5,0.19999999999999996,3,-47.98915,-72.98907775,20.1085,20.1092225,27.010849999999998,25.0,2.010849999999998,0.10849999999999937,1.0922249999999984
0.7999999999999999,0.6,0.19999999999999996,3,-45.9681295,-70.96778901125,20.210205,20.2128873875,27.020948250000004,25.1092225,1.9117257500000022,0.10098249999999709,1.0366488749999987
0.8999999999999999,0.7,0.19999999999999996,3,-43.93764077625001,-68.93667796946251,20.3048872375,20.311110417875,27.030148235,25.2128873875,1.8172608474999983,0.09199985000000055,0.9822303037499995
0.9999999999999999,0.7999999999999999,0.19999999999999996,3,-41.898398200275004,-66.89628055818345,20.39242575975,20.403974112790625,27.038279769187504,25.311110417875,1.7271693513125044,0.08131534187500122,0.9286369491562532
1.0999999999999999,0.8999999999999999,0.19999999999999996,3,-39.851119152828595,-64.84712667954818,20.472790474464063,20.49153878635271,27.045161405354854,25.403974112790625,1.6411872925642292,0.06881636167343785,0.8756467356208649
1.2,0.9999999999999999,0.20000000000000007,3,-37.79651635587952,-62.78974152976123,20.54602796949076,20.57385149786955,27.050610323668664,25.49153878635271,1.5590715373159547,0.05448918313804896,0.8231271151684165
1.3,1.0999999999999999,0.20000000000000018,3,-35.735291462330395,-60.7246462076255,20.612248935491273,20.65095322135735,27.054450067430835,25.57385149786955,1.480598569561284,0.038397437621721764,0.7710172348780194
1.4000000000000001,1.2,0.20000000000000018,3,-33.668129758388886,-58.652357758805906,20.67161703941509,20.722884488195934,27.05651644923661,25.65095322135735,1.4055632278792594,0.02066381805773787,0.71931266838582
1.5000000000000002,1.3,0.20000000000000018,3,-31.595695847460192,-56.573388785901834,20.724339109286948,20.789689729040703,27.056661911345714,25.722884488195934,1.3337774231497797,0.001454621091014019,0.6680524084477011
1.6000000000000003,1.4000000000000001,0.20000000000000018,3,-29.518630197200824,-54.48824673451104,20.77065650259368,20.851420513907957,27.05475858870101,25.789689729040703,1.2650688596603068,-0.019033226447021434,0.6173078486725363
1.7000000000000004,1.5000000000000002,0.20000000000000018,3,-27.437546443056014,-52.39743294801219,20.810837541448112,20.90813786498852,27.050700291455023,25.851420513907957,1.1992797775470656,-0.04058297245984477,0.567173510805657
1.8000000000000005,1.6000000000000003,0.20000000000000018,3,-25.35302935227918,-50.301441568517376,20.845170907768342,20.959913794948132,27.04440359573301,25.90813786498852,1.136265730744487,-0.06296695722017986,0.5177592995960996
1.9000000000000006,1.7000000000000004,0.20000000000000018,3,-23.26563336217915,-48.2007583481172,20.8739599010003,21.00683220400181,27.035808206338228,25.959913794948132,1.0758944113900952,-0.08595389394783126,0.4691840905367826
2.0000000000000004,1.8000000000000005,0.19999999999999996,3,-21.17588161523097,-46.095859422948756,20.89751746948178,21.04898925168443,27.024876732886227,26.00683220400181,1.0180445288844169,-0.10931473452003004,0.4215704768261844
2.1000000000000005,1.9000000000000006,0.19999999999999996,3,-19.0842654217863,-43.98721009257083,20.916161934446713,21.086493303779314,27.011594001162457,26.04898925168443,0.9626047494780288,-0.1328273172377159,0.37504052094884166
2.2000000000000006,2.0000000000000004,0.20000000000000018,3,-16.991244088491708,-41.875263638458065,20.930213332945897,21.11946454112763,26.99596600407912,26.086493303779314,0.9094727002998049,-0.15627997083341683,0.32971237348316895
