time,slave_id,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration
1.6000000000000003,2,-11.161334842380532,-47.893641271027846,24.64567539800719,21.06358728972155,38.83866515761947,25.0,13.838665157619467,4.645675398007189,10.635872897215485
1.7000000000000004,2,-8.656354408542004,-45.68952430780256,25.049804338385282,22.041169632252863,39.237286862485846,26.06358728972155,13.173699572764296,3.9862170486637325,9.775823425313135
1.8000000000000005,2,-6.1187396590597745,-43.396079446594264,25.376147494822295,22.934448612082914,39.57078464874278,27.041169632252863,12.529615016489917,3.3349778625694313,8.932789798300504
1.9000000000000006,2,-3.5554211287149355,-41.02151364332607,25.633185303448386,23.745658032681973,39.84065831787933,27.934448612082914,11.906209705796417,2.698736691365472,8.112094205990587
2.0000000000000004,2,-0.9725569016713509,-38.573767472610974,25.828642270435843,24.47746170715092,40.04895674165471,28.745658032681973,11.30329870897274,2.0829842377538696,7.318036744689466
2.1000000000000005,2,1.6243977603649244,-36.06048110496106,25.969546620362753,25.132863676499113,40.198165232975896,29.47746170715092,10.720703525824977,1.4920849132118335,6.554019693481955
2.2000000000000006,2,4.23062632753466,-33.48896814256958,26.06228567169735,25.7151296239148,40.29110743249572,30.132863676499113,10.158243755996608,0.9294219951982363,5.822659474156893
2.3000000000000007,2,6.841892049334656,-30.866196306585472,26.11265721799996,26.227718359841084,40.330860191904236,30.7151296239148,9.615730567989434,0.39752759408515814,5.125887359262844
2.400000000000001,2,9.45448376705398,-28.198774071493553,26.125917177193234,26.674222350919173,40.32068007363945,31.227718359841084,9.092961713798367,-0.10180118264785065,4.465039910780903
2.500000000000001,2,12.06516614263452,-25.4929424358465,26.106823755805415,27.058316356470517,40.26394021412807,31.674222350919173,8.589717863208897,-0.5673985951137581,3.8409400555134416
2.600000000000001,2,14.67113397867642,-22.7545711038776,26.059678360418985,27.383713319689015,40.164076414522924,32.05831635647051,8.105760058052411,-0.9986379960515315,3.2539696321849805
2.700000000000001,2,17.26997032613949,-19.989158430117524,25.988363474630695,27.654126737600752,40.02454143001709,32.383713319689015,7.640828110328073,-1.3953498450583197,2.7041341791173803
2.800000000000001,2,19.85960809680166,-17.201834549658688,25.89637770662173,27.87323880458835,39.848766526919185,32.65412673760075,7.194639789318437,-1.7577490309790207,2.1911206698760015
2.9000000000000012,2,22.438294916793744,-14.397367180727873,25.78686819992082,28.04467368930815,39.640129466452436,32.873238804588354,6.766890661864082,-2.086370604667529,1.7143488471980177
3.0000000000000013,2,25.004560975602885,-11.580169644271677,25.662660588091427,28.171975364561945,39.401928156330754,33.044673689308155,6.357254467022599,-2.3820131012167245,1.2730167525379201
3.1000000000000014,2,27.557189641888826,-8.754310697821111,25.5262866628594,28.25858946450567,39.1373592861605,33.171975364561945,5.9653839215985585,-2.6456887017025466,0.866140999437242
3.2000000000000015,2,30.09519063334815,-5.923525828436526,25.380009914593234,28.307848693845852,38.849501331169265,33.25858946450567,5.590911866663596,-2.878579549912434,0.49259229340185096
3.3000000000000016,2,32.61777554275102,-3.0912296924637697,25.225849094028707,28.322961359727564,38.541301371187544,33.307848693845855,5.233452677341688,-3.081999599817145,0.15112665881712806
3.4000000000000017,2,35.124335536217764,-0.26052942854672434,25.065599934667425,28.307002639170452,38.215565228681534,33.322961359727564,4.8926038689539695,-3.2573614250601395,-0.15958720557112693
3.5000000000000018,2,37.61442105285274,2.5657613947989004,24.90085516634977,28.262908233456248,37.874950481399466,33.30700263917045,4.567947842229017,-3.406147472820681,-0.44094405714203644
3.600000000000002,2,40.08772334706091,5.385108404407557,24.733022942081664,28.193470096086568,37.52196195226201,33.262908233456244,4.259053718805767,-3.5298852913745833,-0.6943813736967837
3.700000000000002,2,42.54405772628671,8.195241799714548,24.563343792258003,28.10133395306991,37.15894932187915,33.19347009608657,3.9654792257925777,-3.6301263038285647,-0.9213614301665629
3.800000000000002,2,44.983348347581725,10.994141636074568,24.392906212950127,27.988998363600192,36.78810654786717,33.10133395306991,3.6867725947972616,-3.7084277401197845,-1.1233558946971969
3.900000000000002,2,47.40561444637048,13.780023145662366,24.222660987887522,27.858815095877965,36.41147281029591,32.98899836360019,3.4224744466957233,-3.76633737571267,-1.3018326772222744
4.000000000000002,2,49.81095788008484,16.551322207373012,24.05343433714362,27.712990617106442,36.03093473442247,32.858815095877965,3.1721196385445083,-3.8053807587343442,-1.4582447877152216
4.100000000000001,2,52.19955187801591,19.306681059248973,23.88593997931071,27.553588518759607,35.6482296706429,32.71299061710644,2.9352390535364563,-3.8270506377957325,-1.5940209834683579
4.200000000000001,2,54.571630896825866,22.04493433107374,23.72079018809952,27.382532718247663,35.26494983757689,32.55358851875961,2.711361318817282,-3.8327983306600864,-1.7105580051194282
4.300000000000001,2,56.92748148870639,24.765095460699893,23.558505918805288,27.20161129626152,34.88254715763265,32.38253271824766,2.500014439384991,-3.8240267994423753,-1.809214219861405
4.4,2,59.26743409619892,27.466343545251544,23.39952607492528,27.0124808455165,34.50233863549903,32.20161129626152,2.300727339237511,-3.8020852213362417,-1.8913045074502381
4.5,2,61.59185569423642,30.148010667399404,23.24421598037505,26.816671221478604,34.12551214898488,32.0124808455165,2.1130313034683823,-3.7682648651414503,-1.9580962403789695
4.6,2,63.90114320605787,32.80956972730705,23.092875118214472,26.615590599076466,33.75313253865846,31.816671221478604,1.9364613171798588,-3.7237961032641316,-2.010806224021376
4.699999999999999,2,66.19571762531224,35.450622802457076,22.945744192543696,26.410530751500282,33.38614789800519,31.615590599076466,1.7705572989287255,-3.66984640653277,-2.0505984757618534
4.799999999999999,2,68.47601878193699,38.07089005026498,22.803011566247402,26.202672478079034,33.02539597947991,31.410530751500282,1.614865227979628,-3.6075191852528796,-2.07858273421249
4.899999999999999,2,70.74250069429083,40.67019916206629,22.66481912353839,25.993091118013123,32.67161064402585,31.202672478079034,1.4689381659468133,-3.537853354540644,-2.095813600659109
4.999999999999998,2,72.99562745456721,43.24847537161805,22.531267602763858,25.782762095517572,32.32542829250092,30.993091118013123,1.332337174487801,-3.4618235152492645,-2.1032902249555114
5.099999999999998,2,75.23586959873484,45.80573201659707,22.402421441676196,25.572566449790223,31.987394227116788,30.782762095517572,1.2046321315992152,-3.380340653841376,-2.1019564572734932
5.1999999999999975,2,77.46370091616699,48.34206164762124,22.27831317432155,25.363296310241715,31.657968899569916,30.572566449790223,1.0854024497796928,-3.294253275468673,-2.092701395485092
5.299999999999997,2,79.67959565775213,50.85762767598974,22.1589474158514,25.15566028368495,31.337534010130888,30.363296310241715,0.9742376998891729,-3.2043488943903142,-2.076360265567665
5.399999999999997,2,81.88402610464244,53.352656548564816,22.04430446890311,24.950288725750788,31.026398428652705,30.15566028368495,0.8707381449677563,-3.111355814781838,-2.0537155793415924
5.4999999999999964,2,84.0774604629138,55.82743043593859,21.934343582713584,24.74773887373772,30.72480391434899,29.950288725750788,0.7745151885982011,-3.0159451430372037,-2.025498520130663
5.599999999999996,2,86.26036105229532,58.282280418186076,21.82900589381513,24.548499822474863,30.432930616356735,29.74773887373772,0.6851917426190148,-2.9187329799225914,-1.9923905126285657
5.699999999999996,2,88.43318275979576,60.717580151049475,21.728217075004395,24.352997328633965,30.15090234160968,29.548499822474863,0.6024025191348166,-2.8202827474704684,-1.9550249384089664
5.799999999999995,2,90.59637173152215,63.13373999428111,21.631889717264034,24.161598432316307,29.87879158047268,29.352997328633965,0.5257942518387146,-2.7211076113699306,-1.9139889631765872
5.899999999999995,2,92.75036427826652,65.53120158305211,21.539925467443602,23.974615887709945,29.61662428398541,29.161598432316307,0.45502585166910237,-2.6216729648727046,-1.8698254460636128
5.999999999999995,2,94.89558597254278,67.91043282277244,21.452216942762607,23.792312397203194,29.364384389490667,28.974615887709945,0.389768501780722,-2.522398944947337,-1.8230349050675088
6.099999999999994,2,97.03245091670041,70.27192328733136,21.36864944157633,23.614904645589284,29.122018093927977,28.792312397203194,0.32970569672478334,-2.423662955626863,-1.774077516139099
6.199999999999994,2,99.16136116353405,72.61618000062533,21.289102468336388,23.442567132939722,28.88943787620269,28.614904645589284,0.2745332306134074,-2.3258021772528963,-1.7233751264956134
6.299999999999994,2,101.28270627246165,74.94372358126448,21.213451089275956,23.27543580639145,28.666526271836318,28.442567132939722,0.22395913889659624,-2.2291160436637654,-1.6713132654827143
6.399999999999993,2,103.39686298586635,77.25508473051592,21.141567134047,23.113611492514416,28.45313940460187,28.27543580639145,0.17770359821042092,-2.133868672344448,-1.6182431387703482
6.499999999999993,2,105.50419501159911,79.55080104382871,21.073320257327573,22.957163133127906,28.24911028108319,28.113611492514416,0.13549878856877484,-2.0402912351868423,-1.5644835938650865
