control_time,predecessor_state_time,information_age,slave_id,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration
0.2,0.2,0.0,2,-22.98,-47.9883,20.2,20.117,27.02,25.0,2.0199999999999996,0.1999999999999993,1.1699999999999993
0.30000000000000004,0.30000000000000004,0.0,2,-20.942700000000002,-45.964909000000006,20.373,20.23391,27.0456,25.117,1.9285999999999994,0.2560000000000002,1.1690999999999998
0.4,0.4,0.0,2,-18.890535500000002,-43.93001380250001,20.521645,20.348951975000002,27.074373500000004,25.23391,1.840463500000002,0.28773499999999785,1.1504197499999993
0.5,0.5,0.0,2,-16.825699707500004,-41.883946546800004,20.648357925,20.460672557000002,27.104314095000003,25.348951975000002,1.755362120000001,0.29940594999999703,1.1172058199999981
0.6,0.6,0.0,2,-14.750164069487504,-39.82715627091344,20.755356380125,20.56790275886563,27.1337824773125,25.460672557000002,1.6731099203124984,0.2946838231249984,1.072302018656248
0.7,0.7,0.0,2,-12.665697244069191,-37.76018408972445,20.844668254183127,20.66972181188996,27.16145902684425,25.56790275886563,1.5935562679786202,0.2767654953174983,1.0181905302433087
0.7999999999999999,0.7999999999999999,0.0,2,-10.573882619734913,-35.68364161479333,20.91814624334278,20.765424749311165,27.186301469989534,25.66972181188996,1.5165796580995732,0.24842443145281834,0.9570293742120413
0.8999999999999999,0.8999999999999999,0.0,2,-8.476134483465417,-33.59819227504506,20.977481362694963,20.854493397482706,27.207507131327915,25.765424749311165,1.4420823820167499,0.21205661338379755,0.890686481715413
0.9999999999999999,0.9999999999999999,0.0,2,-6.373712932493628,-31.50453522867356,21.024215509717887,20.936570463714958,27.22447934255143,25.854493397482706,1.3699859450687235,0.1697221122351813,0.8207706623225068
1.0999999999999999,1.0999999999999999,0.0,2,-4.267737618485704,-29.403391585158786,21.059753140079245,21.011436435147747,27.236797610187857,25.936570463714958,1.3002271464728992,0.12318267636428715,0.7486597143278793
1.2,1.2,0.0,2,-2.1592004072063813,-27.295492682508826,21.085372112793227,21.078989026499617,27.244191177952406,26.011436435147747,1.2327547428046586,0.07393567764547981,0.6755259135187132
1.3,1.3,0.0,2,-0.04897703135733833,-25.18157018887968,21.102233758490428,21.139224936291477,27.246515651151487,26.078989026499617,1.1675266246518703,0.02324473199081112,0.602359097918584
1.4000000000000001,1.4000000000000001,0.0,2,2.062162190788116,-23.062347819752347,21.11139222145454,21.192223691273337,27.243732379667794,26.139224936291477,1.104507443376317,-0.02783271483693639,0.5299875498186093
1.5000000000000002,1.5000000000000002,0.0,2,4.17354250310072,-20.938534482012294,21.113803123126043,21.23813337740054,27.235890322853066,26.192223691273337,1.043666631579729,-0.07842056814729403,0.45909686127202926
1.6000000000000003,1.6000000000000003,0.0,2,6.284575662297183,-18.810818674721183,21.110331591964623,21.277158072911114,27.223110144309477,26.23813337740054,0.984976766908936,-0.12780178543591703,0.39024695510573437
1.7000000000000004,1.7000000000000004,0.0,2,8.394751632486619,-16.67986399322672,21.101759701894363,21.309546814944607,27.2055703072078,26.277158072911114,0.9284122342966867,-0.17539837101675104,0.32388742033494256
1.8000000000000005,1.8000000000000005,0.0,2,10.503630968388995,-14.546305598646272,21.088793359023764,21.335583945804494,27.183494961615715,26.309546814944607,0.8739481466711077,-0.2207534559208426,0.2603713085988797
1.9000000000000006,1.9000000000000006,0.0,2,12.610837835782117,-12.410747528797689,21.072068673931224,21.355580698485827,27.15714343442839,26.335583945804494,0.8215594886238975,-0.2635152718732705,0.19996752681333232
2.0000000000000004,2.0000000000000004,0.0,2,14.716053621235224,-10.27376073944301,21.05215785453106,21.3698678935468,27.12680115003291,26.355580698485827,0.7712204515470837,-0.3034228439547668,0.1428719506097284
2.1000000000000005,2.1000000000000005,0.0,2,16.81901108647325,-8.135881776355815,21.029574652380262,21.37878963087195,27.09277182591626,26.3698678935468,0.7229039323694586,-0.34029324116653825,0.0892173732514987
2.2000000000000006,2.2000000000000006,0.0,2,18.919489025797965,-5.997611989313208,21.004779393247166,21.382697870426057,27.05537080215378,26.37878963087195,0.6765811712818319,-0.374010237624784,0.03908239554108872
2.3000000000000007,2.3000000000000007,0.0,2,21.01730738788148,-3.8594172087334866,20.978183620835136,21.381947805797214,27.014919377194687,26.382697870426057,0.6322215067686301,-0.4045142495909211,-0.007500646288421842
2.400000000000001,2.400000000000001,0.0,2,23.11232282595473,-1.7217278144098276,20.950154380732496,21.37689394323659,26.971740034688217,26.381947805797214,0.5897922288910031,-0.4317934250647184,-0.0505386256062732
2.500000000000001,2.500000000000001,0.0,2,25.204424642948684,0.4150608662980648,20.921018169939536,21.36788680707892,26.926152457358512,26.37689394323659,0.5492585141219237,-0.455875773297052,-0.09007136157667972
2.600000000000001,2.600000000000001,0.0,2,27.29353110051868,2.5505878862906335,20.89106457569996,21.355270199925688,26.878470234220615,26.36788680707892,0.5105834271416931,-0.47682223137896074,-0.12616607153232207
2.700000000000001,2.700000000000001,0.0,2,29.379586063101986,4.684525781574889,20.86054962583303,21.33937895284256,26.828998176811353,26.355270199925688,0.4737279768856659,-0.494720574092657,-0.15891247083129267
2.800000000000001,2.800000000000001,0.0,2,31.46255595023395,6.816579492286044,20.829698871319636,21.320537107111548,26.778030168659058,26.33937895284256,0.438651215816499,-0.509680081522923,-0.18841845731008888
2.9000000000000012,2.9000000000000012,0.0,2,33.542426972287586,8.946485139769047,20.798710220536385,21.299056474830035,26.72584748000154,26.320537107111548,0.4053103728899927,-0.5218268865751625,-0.21480632281513368
