time,master_s,slave1_s,slave2_s,slave3_s,master_velocity,slave1_velocity,slave2_velocity,slave3_velocity,distance_master_slave1,distance_slave1_slave2,distance_slave2_slave3,error_slave1,error_slave2,error_slave3
0.0,0.2,-4.8,-9.8,-14.8,2.0,2.0,2.0,2.0,5.0,5.000000000000001,5.0,0.0,8.881784197001252e-16,0.0
0.1,0.4,-4.6,-9.600000000000001,-14.600000000000001,2.0,2.0,2.0,2.0,5.0,5.000000000000002,5.0,0.0,1.7763568394002505e-15,0.0
0.2,0.6000000000000001,-4.3999999999999995,-9.400000000000002,-14.400000000000002,2.0,2.0,2.0,2.0,5.0,5.000000000000003,5.0,0.0,2.6645352591003757e-15,0.0
0.30000000000000004,0.8,-4.199999999999999,-9.200000000000003,-14.200000000000003,2.0,2.0,2.0,2.0,4.999999999999999,5.0000000000000036,5.0,-8.881784197001252e-16,3.552713678800501e-15,0.0
0.4,1.0,-3.999999999999999,-9.000000000000004,-14.000000000000004,2.0,2.0,2.0,2.0,4.999999999999999,5.000000000000004,5.0,-8.881784197001252e-16,4.440892098500626e-15,0.0
0.5,1.2,-3.799999999999999,-8.800000000000004,-13.800000000000004,2.0,2.0,2.0,2.0,4.999999999999999,5.000000000000005,5.0,-8.881784197001252e-16,5.329070518200751e-15,0.0
0.6,1.4,-3.5999999999999988,-8.600000000000005,-13.600000000000005,2.0,2.0,2.0000000000000004,2.0,4.999999999999998,5.000000000000006,5.0,-1.7763568394002505e-15,6.217248937900877e-15,0.0
0.7,1.5999999999999999,-3.3999999999999986,-8.400000000000006,-13.400000000000006,2.0,2.0,2.000000000000001,2.0,4.999999999999998,5.000000000000007,5.0,-1.7763568394002505e-15,7.105427357601002e-15,0.0
0.7999999999999999,1.7999999999999998,-3.1999999999999984,-8.200000000000006,-13.200000000000006,2.0,2.0,2.0000000000000013,2.0,4.999999999999998,5.000000000000008,5.0,-1.7763568394002505e-15,7.993605777301127e-15,0.0
0.8999999999999999,1.9999999999999998,-2.9999999999999982,-8.000000000000007,-13.000000000000007,2.0,2.0,2.0000000000000018,2.0,4.999999999999998,5.000000000000009,5.0,-1.7763568394002505e-15,8.881784197001252e-15,0.0
0.9999999999999999,2.1999999999999997,-2.799999999999998,-7.800000000000007,-12.800000000000008,2.0,2.0,2.000000000000002,2.0,4.999999999999998,5.000000000000009,5.000000000000001,-1.7763568394002505e-15,8.881784197001252e-15,8.881784197001252e-16
1.0999999999999999,2.4,-2.599999999999998,-7.600000000000007,-12.600000000000009,2.0,2.0,2.0000000000000027,2.0,4.999999999999998,5.000000000000009,5.000000000000002,-1.7763568394002505e-15,8.881784197001252e-15,1.7763568394002505e-15
1.2,2.6,-2.3999999999999977,-7.400000000000007,-12.40000000000001,2.0,2.0,2.000000000000003,2.0000000000000004,4.999999999999998,5.000000000000009,5.000000000000003,-1.7763568394002505e-15,8.881784197001252e-15,2.6645352591003757e-15
1.3,2.8000000000000003,-2.1999999999999975,-7.200000000000006,-12.20000000000001,2.0,2.0,2.000000000000003,2.000000000000001,4.999999999999998,5.000000000000009,5.0000000000000036,-1.7763568394002505e-15,8.881784197001252e-15,3.552713678800501e-15
1.4000000000000001,3.0000000000000004,-1.9999999999999976,-7.000000000000006,-12.00000000000001,2.0,2.0,2.000000000000003,2.0000000000000013,4.999999999999998,5.000000000000009,5.000000000000004,-1.7763568394002505e-15,8.881784197001252e-15,4.440892098500626e-15
1.5000000000000002,3.2000000000000006,-1.7999999999999976,-6.800000000000006,-11.800000000000011,2.0,2.0,2.000000000000003,2.0000000000000018,4.999999999999998,5.000000000000009,5.000000000000005,-1.7763568394002505e-15,8.881784197001252e-15,5.329070518200751e-15
1.6000000000000003,3.400000000000001,-1.5999999999999976,-6.600000000000006,-11.60000000000001,2.0,2.0,2.000000000000003,2.000000000000002,4.999999999999998,5.000000000000008,5.000000000000004,-1.7763568394002505e-15,7.993605777301127e-15,4.440892098500626e-15
1.7000000000000004,3.600000000000001,-1.3999999999999977,-6.400000000000006,-11.40000000000001,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999998,5.000000000000008,5.0000000000000036,-1.7763568394002505e-15,7.993605777301127e-15,3.552713678800501e-15
1.8000000000000005,3.800000000000001,-1.1999999999999977,-6.2000000000000055,-11.200000000000008,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999999,5.000000000000008,5.000000000000003,-8.881784197001252e-16,7.993605777301127e-15,2.6645352591003757e-15
1.9000000000000006,4.000000000000001,-0.9999999999999978,-6.000000000000005,-11.000000000000007,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999998,5.000000000000007,5.000000000000002,-1.7763568394002505e-15,7.105427357601002e-15,1.7763568394002505e-15
2.0000000000000004,4.200000000000001,-0.7999999999999978,-5.800000000000005,-10.800000000000006,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999999,5.000000000000007,5.000000000000001,-8.881784197001252e-16,7.105427357601002e-15,8.881784197001252e-16
2.1000000000000005,4.400000000000001,-0.5999999999999979,-5.600000000000005,-10.600000000000005,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999999,5.000000000000007,5.0,-8.881784197001252e-16,7.105427357601002e-15,0.0
2.2000000000000006,4.600000000000001,-0.39999999999999786,-5.400000000000005,-10.400000000000004,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999999,5.000000000000007,4.999999999999999,-8.881784197001252e-16,7.105427357601002e-15,-8.881784197001252e-16
2.3000000000000007,4.800000000000002,-0.19999999999999785,-5.200000000000005,-10.200000000000003,2.0,2.0,2.000000000000003,2.0000000000000027,4.999999999999999,5.000000000000007,4.999999999999998,-8.881784197001252e-16,7.105427357601002e-15,-1.7763568394002505e-15
